ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
2452441-20190816,2672084,8989,5,"FIRESIDE PUB, INCORPORATED",FIRESIDE TAVERN AND GRILL,5739-5741 N RAVENSWOOD AVE 1ST,CHICAGO,IL,60660,40,22,40-22,20,1471,Late Hour,785,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",2452441,RENEW,,06/15/2019,08/15/2019,N,08/16/2019,08/15/2021,08/15/2019,08/16/2019,AAI,,,41.986230811,-87.674541363,"(41.9862308107723, -87.67454136310121)"
2452441-20170816,2537011,8989,5,"FIRESIDE PUB, INCORPORATED",FIRESIDE TAVERN AND GRILL,5739-5741 N RAVENSWOOD AVE 1ST,CHICAGO,IL,60660,40,22,40-22,20,1471,Late Hour,785,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",2452441,RENEW,,06/15/2017,07/10/2017,N,08/16/2017,08/15/2019,07/10/2017,07/11/2017,AAI,,,41.986230811,-87.674541363,"(41.9862308107723, -87.67454136310121)"
40080-20180416,2580278,64172,1,"SEVEN WEST DIVISION, INC.",Gold Coast Social,7 W DIVISION ST 1,CHICAGO,IL,60610,2,36,2-36,18,1471,Late Hour,785,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",40080,RENEW,,02/15/2018,03/20/2018,N,04/16/2018,04/15/2020,03/20/2018,03/21/2018,AAI,,,41.903826743,-87.628992303,"(41.903826743362245, -87.62899230340854)"
1873240-20170716,2532168,302881,1,2BEARS TAVERN UPTOWN LLC,2Bears Tavern Uptown,1140 W WILSON AVE,CHICAGO,IL,60640,46,32,46-32,19,1471,Late Hour,785,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",1873240,RENEW,,05/15/2017,07/10/2017,N,07/16/2017,07/15/2019,07/10/2017,07/11/2017,AAI,,34,41.96548895,-87.659158699,"(41.96548894953586, -87.65915869895883)"
1873240-20190716,2667343,302881,1,2BEARS TAVERN UPTOWN LLC,2Bears Tavern Uptown,1140 W WILSON AVE,CHICAGO,IL,60640,46,32,46-32,19,1471,Late Hour,785,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",1873240,RENEW,,05/15/2019,06/18/2019,N,07/16/2019,07/15/2021,06/18/2019,06/19/2019,AAI,,34,41.96548895,-87.659158699,"(41.96548894953586, -87.65915869895883)"
53772-20181116,2623353,17865,1,"VIPER ROOM, INC.",FROSTY'S,1332 N HALSTED ST  1ST/M,CHICAGO,IL,60622,27,46,27-46,18,1471,Late Hour,785,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",53772,RENEW,,09/15/2018,10/31/2018,N,11/16/2018,07/15/2021,10/31/2018,11/01/2018,AAI,,,41.906038265,-87.648291719,"(41.90603826468031, -87.6482917185286)"
37593-20170916,2544620,54620,1,"THE HIDDEN COVE, INC.",THE HIDDEN COVE,5338 N LINCOLN AVE 1,CHICAGO,IL,60625,40,1,40-1,20,1471,Late Hour,785,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",37593,RENEW,,07/15/2017,09/01/2017,N,09/16/2017,09/15/2019,09/01/2017,09/14/2017,AAI,,,41.978854032,-87.692788772,"(41.978854032341516, -87.69278877219502)"
40582-20180216,2570837,15981,1,"SHE-NANNIGAN'S GREEN STREET, INCORPORATED",SHE-NANNIGAN'S HOUSE OF BEERS,16 W DIVISION ST 1,CHICAGO,IL,60610,2,38,2-38,18,1471,Late Hour,785,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",40582,RENEW,,12/15/2017,01/26/2018,N,02/16/2018,02/15/2020,01/26/2018,01/29/2018,AAI,,,41.904040349,-87.629335459,"(41.9040403492842, -87.62933545937574)"
655-20190516,2653371,122,1,"ZIEMEK CORPORATION, INC.",The Thirsty Tavern,5368 N MILWAUKEE AVE,CHICAGO,IL,60630,45,32,45-32,16,1471,Late Hour,785,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",655,RENEW,,03/15/2019,05/07/2019,N,05/16/2019,07/15/2021,05/07/2019,05/08/2019,AAI,,,41.978363925,-87.770377202,"(41.97836392545557, -87.77037720178194)"
1535-20180816,2603102,24200,1,FAUSTO ENTERPRISES INC.,El Sinaloense,2759 S PULASKI RD 1ST,CHICAGO,IL,60623,22,4,22-4,10,1471,Late Hour,785,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",1535,RENEW,,06/15/2018,08/13/2018,N,08/16/2018,08/15/2020,08/13/2018,08/13/2018,AAI,,,41.840660595,-87.724305978,"(41.84066059466386, -87.7243059784339)"
