,Id,Place name,Phone,Address,Hours,Location,Reviews count,Category,Total score,website,Claimed,Latitude,Longitude,Place id,Cid,Featured Image,Review URL
0,1,Chicago O'Hare International Airport,18008326352.0,"10000 W Balmoral Ave, Chicago, IL 60666, United States",,https://www.google.com/maps?cid=5843217136966282571,48510.0,"International airport,Airport",4.0,flychicago.com,no,41.9802588,-87.9089858,ChIJ82J3aie0D4gRS61ZAgdHF1E,0x880fb4276a7762f3:0x511747070259ad4b,https://lh5.googleusercontent.com/p/AF1QipOyYwjv2nBDSqiP-K0el2dhPoT0xuzN-A_butBV,https://search.google.com/local/reviews?placeid=ChIJ82J3aie0D4gRS61ZAgdHF1E&q=chicago+airports&authuser=0&hl=en&gl=DE
1,2,Chicago Midway International Airport,17738380600.0,"5700 S Cicero Ave, Chicago, IL 60638, United States",,https://www.google.com/maps?cid=10847589131411345573,4399.0,"International airport,Airport",3.7,flychicago.com,yes,41.7867759,-87.7521884,ChIJhUOqAQYxDogRpVApj9dgipY,0x880e310601aa4385:0x968a60d78f2950a5,https://lh5.googleusercontent.com/p/AF1QipMDC_w5lANVQp06W_sq6kYibiSIYgITJlb3Ikmq,https://search.google.com/local/reviews?placeid=ChIJhUOqAQYxDogRpVApj9dgipY&q=chicago+airports&authuser=0&hl=en&gl=DE
2,3,Chicago Rockford International Airport (RFD),18663597331.0,"2 Airport Cir, Rockford, IL 61109, United States",,https://www.google.com/maps?cid=3978025184425746366,615.0,"International airport,Airport",4.2,flyrfd.com,yes,42.2018417,-89.09581899999999,ChIJ5-m2IYbqCIgRvh9BKdTINDc,0x8808ea8621b6e9e7:0x3734c8d429411fbe,https://lh5.googleusercontent.com/p/AF1QipOt-gc6R1rpzFLaE4Tz7NbSg1FnQNTDVDYDS0vW,https://search.google.com/local/reviews?placeid=ChIJ5-m2IYbqCIgRvh9BKdTINDc&q=chicago+airports&authuser=0&hl=en&gl=DE
3,4,Chicago Executive Airport-PWK,18475372580.0,"1020 Plant Rd, Wheeling, IL 60090, United States",,https://www.google.com/maps?cid=1464039603545908975,104.0,Regional airport,4.5,chiexec.com,yes,42.1161287,-87.9016055,ChIJFXJbwhi5D4gR7yZ1OkNQURQ,0x880fb918c25b7215:0x145150433a7526ef,https://lh5.googleusercontent.com/p/AF1QipMqMOevZ_MCUY5sX1ApIdyBVmKoYCU1glgMMXy7,https://search.google.com/local/reviews?placeid=ChIJFXJbwhi5D4gR7yZ1OkNQURQ&q=chicago+airports&authuser=0&hl=en&gl=DE
4,5,DuPage Airport Authority,16305842211.0,"2700 International Dr, West Chicago, IL 60185, United States",,https://www.google.com/maps?cid=15934526795873194525,91.0,"Regional airport,Airport",4.9,dupageairport.com,no,41.9067614,-88.25490789999999,ChIJpcojW__9DogRHRL3M7LPIt0,0x880efdff5b23caa5:0xdd22cfb233f7121d,https://lh5.googleusercontent.com/p/AF1QipM-B_9ec48n87IvLMBZwaMLjcjrzGQ9gNJ92QiZ,https://search.google.com/local/reviews?placeid=ChIJpcojW__9DogRHRL3M7LPIt0&q=chicago+airports&authuser=0&hl=en&gl=DE
5,6,South Bend International Airport,15742824590.0,"4477 Progress Dr, South Bend, IN 46628, United States",,https://www.google.com/maps?cid=15967017371886867558,1364.0,"International airport,Airport",4.4,flysbn.com,yes,41.700602,-86.31210209999999,ChIJ217m74wtEYgRZtTO7bM9lt0,0x88112d8cefe65edb:0xdd963db3edced466,https://lh5.googleusercontent.com/p/AF1QipPfTknaVQqh2ccQr95xmoJkqXoap3IWidkfiPo2,https://search.google.com/local/reviews?placeid=ChIJ217m74wtEYgRZtTO7bM9lt0&q=chicago+airports&authuser=0&hl=en&gl=DE
6,7,Gary/Chicago International Airport,12199494925.0,"6001 Airport Rd, Gary, IN 46406, United States",,https://www.google.com/maps?cid=15756167143914704066,83.0,"International airport,Airport",4.4,flygyy.com,no,41.6177392,-87.408428,ChIJLazaieTcEYgRwoy3ookmqdo,0x8811dce489daac2d:0xdaa92689a2b78cc2,https://lh5.googleusercontent.com/p/AF1QipNESvdNuTzq660IYtwyew9-u0nFhKQn-4KiMyjE,https://search.google.com/local/reviews?placeid=ChIJLazaieTcEYgRwoy3ookmqdo&q=chicago+airports&authuser=0&hl=en&gl=DE
7,8,Schaumburg Regional Airport,18479233778.0,"905 W Irving Park Rd, Schaumburg, IL 60193, United States",,https://www.google.com/maps?cid=17112096150168278854,47.0,Airport,4.7,villageofschaumburg.com,no,41.9908508,-88.1023632,ChIJmXseXFqpD4gRRhcc6chgeu0,0x880fa95a5c1e7b99:0xed7a60c8e91c1746,https://lh5.googleusercontent.com/p/AF1QipPhlQ4uHk-sFH-mH0Z89nUZHJdI4AFhBGiRkFK5,https://search.google.com/local/reviews?placeid=ChIJmXseXFqpD4gRRhcc6chgeu0&q=chicago+airports&authuser=0&hl=en&gl=DE
8,9,Merrill C. Meigs Field,,"Unnamed Road, Chicago, IL 60605, United States",,https://www.google.com/maps?cid=16924397370110114261,6.0,Airport,3.2,,no,41.8600681,-87.6100629,ChIJdcd8Q1QrDogR1fn3Ir2J3-o,0x880e2b54437cc775:0xeadf89bd22f7f9d5,https://lh5.googleusercontent.com/p/AF1QipMXfyXRIzKSwDDcpxAwtpN__68TyjSgVPajjoc,https://search.google.com/local/reviews?placeid=ChIJdcd8Q1QrDogR1fn3Ir2J3-o&q=chicago+airports&authuser=0&hl=en&gl=DE
9,10,Frankfort Airport,17088781100.0,"22763 S Center Rd, Frankfort, IL 60423, United States",,https://www.google.com/maps?cid=7842965986726836072,,Airport,,,no,41.4774778,-87.840087,ChIJxzNRMTkTDogRaPdS2ALQ12w,0x880e1339315133c7:0x6cd7d002d852f768,,
10,1,Wrigley Field,17734042827.0,"1060 W Addison St, Chicago, IL 60613, United States",,https://www.google.com/maps?cid=2083546915695089222,31560.0,"Stadium,Baseball field,Tourist attraction",4.8,mlb.com,yes,41.9484384,-87.6553327,ChIJId-a5bLTD4gRRtbdduE-6hw,0x880fd3b2e59adf21:0x1cea3ee176ddd646,https://lh5.googleusercontent.com/p/AF1QipNCUjjA1Jl0OV0JGjY5fzK0Z6oBt84dcDzArSn2,https://search.google.com/local/reviews?placeid=ChIJId-a5bLTD4gRRtbdduE-6hw&q=chicago++stadiums&authuser=0&hl=en&gl=DE
