ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
2205814-20170316,2508374,215685,1,"RED ROOF INN, INC.",RED ROOF INNS #281,162 E ONTARIO ST,CHICAGO,IL,60611,42,53,42-53,18,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2205814,RENEW,,01/15/2017,11/01/2017,N,03/16/2017,03/15/2019,11/01/2017,06/17/2022,AAI,,,41.893469468,-87.62289419,"(41.893469467646554, -87.62289419025899)"
2204324-20190416,2648098,10471,2,L. V. M. CORPORATION,Inn at LIncoln Park,601 W DIVERSEY PKWY 1ST,CHICAGO,IL,60614,43,45,43-45,19,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2204324,RENEW,,02/22/2019,03/01/2019,N,04/16/2019,07/15/2021,03/01/2019,03/01/2019,AAI,,23,41.932715245,-87.643671332,"(41.93271524507567, -87.64367133187916)"
2204324-20170416,2512431,10471,2,L. V. M. CORPORATION,Inn at LIncoln Park,601 W DIVERSEY PKWY 1ST,CHICAGO,IL,60614,43,45,43-45,19,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2204324,RENEW,,02/15/2017,03/01/2017,N,04/16/2017,04/15/2019,03/01/2017,03/02/2017,AAI,,23,41.932715245,-87.643671332,"(41.93271524507567, -87.64367133187916)"
2298787-20180616,2593647,386661,1,SOHO HOUSE CHICAGO LLC,SOHO HOUSE CHICAGO,113-125 N GREEN ST BSMT - 6TH,CHICAGO,IL,60607,27,1,27-1,12,4404,Regulated Business License,670 | 676 | 745,Health Club | Hotel - 7 or More Sleeping Rooms  | Provide Full Body Massage Services,2298787,RENEW,,04/15/2018,04/25/2018,N,06/16/2018,07/15/2020,04/25/2018,04/25/2018,AAI,,,41.883557098,-87.648432396,"(41.883557097965046, -87.64843239611488)"
2368420-20190516,2656487,394924,1,FREEHAND HOSTEL MANAGER LLC,FREEHAND CHICAGO / CAFE INTEGRAL / BROKEN SHAKER,17-19 E OHIO ST 1-17,CHICAGO,IL,60611,42,22,42-22,18,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2368420,RENEW,,03/15/2019,04/25/2019,N,05/16/2019,07/15/2021,04/25/2019,05/01/2019,AAI,,,41.892372493,-87.627329444,"(41.89237249265396, -87.62732944447171)"
2349101-20181016,2618218,33471,34,LOYOLA UNIVERSITY OF CHICAGO,Loyola University Chicago,1216 W ARTHUR AVE 1-4,CHICAGO,IL,60626,49,12,49-12,24,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2349101,RENEW,,08/15/2018,10/02/2018,N,10/16/2018,10/15/2020,10/02/2018,10/22/2018,AAI,,54,42.000540579,-87.661446413,"(42.00054057883223, -87.66144641331731)"
2501653-20190716,2669443,412122,1,ACE GROUP CHICAGO LLC,ACE HOTEL CHICAGO,311-319 N MORGAN ST,CHICAGO,IL,60607,27,57,27-57,12,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2501653,RENEW,,05/15/2019,06/18/2019,N,07/16/2019,07/15/2021,06/18/2019,06/19/2019,AAI,,,41.887121914,-87.65203576,"(41.88712191392366, -87.6520357596219)"
2207266-20170316,2509166,310784,1,"DIAMONDROCK CHICAGO CONRAD TENANT, LLC",THE GWEN,520 N MICHIGAN AVE 5-17,CHICAGO,IL,60611,42,48,42-48,18,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2207266,RENEW,,01/15/2017,02/28/2017,N,03/16/2017,03/15/2019,02/28/2017,03/08/2017,AAI,,,41.891688517,-87.624307178,"(41.89168851736832, -87.62430717812579)"
2442923-20180716,2599602,403315,1,LINCOLN ASSET MANAGER LLC,HOTEL LINCOLN,1816 N CLARK ST LL-13,CHICAGO,IL,60614,43,49,43-49,18,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2442923,RENEW,,05/15/2018,06/21/2018,N,07/16/2018,07/15/2020,06/21/2018,06/22/2018,AAI,,,41.915249987,-87.634293268,"(41.91524998684686, -87.63429326814013)"
2207725-20170216,2503933,324946,1,"RIVER PARK MOTEL & SUITES, INC.",RIVER PARK MOTEL & SUTIES,6060 N LINCOLN AVE 1,CHICAGO,IL,60659,50,25,50-25,17,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2207725,RENEW,,12/15/2016,01/12/2017,N,02/16/2017,02/15/2019,01/12/2017,01/13/2017,AAI,,,41.99228706,-87.710686154,"(41.99228706018854, -87.71068615413125)"
