,Address,Category,website,Latitude,Longitude,Within_Chicago
0,"10000 W Balmoral Ave, Chicago, IL 60666, United States","International airport,Airport",flychicago.com,41.9802588,-87.9089858,True
1,"5700 S Cicero Ave, Chicago, IL 60638, United States","International airport,Airport",flychicago.com,41.7867759,-87.7521884,True
2,"2 Airport Cir, Rockford, IL 61109, United States","International airport,Airport",flyrfd.com,42.2018417,-89.09581899999999,False
3,"1020 Plant Rd, Wheeling, IL 60090, United States",Regional airport,chiexec.com,42.1161287,-87.9016055,False
4,"2700 International Dr, West Chicago, IL 60185, United States","Regional airport,Airport",dupageairport.com,41.9067614,-88.25490789999999,False
5,"4477 Progress Dr, South Bend, IN 46628, United States","International airport,Airport",flysbn.com,41.700602,-86.31210209999999,False
6,"6001 Airport Rd, Gary, IN 46406, United States","International airport,Airport",flygyy.com,41.6177392,-87.408428,False
7,"905 W Irving Park Rd, Schaumburg, IL 60193, United States",Airport,villageofschaumburg.com,41.9908508,-88.1023632,False
8,"Unnamed Road, Chicago, IL 60605, United States",Airport,,41.8600681,-87.6100629,True
9,"22763 S Center Rd, Frankfort, IL 60423, United States",Airport,,41.4774778,-87.840087,False
0,"225 S Canal St, Chicago, IL 60606, United States",Train station,amtrak.com,41.8786897,-87.640311,True
1,"47 W Polk St Ste M11, Chicago, IL 60605, United States",Historical landmark,,41.8719766,-87.6292263,True
2,"500 W Madison St, Chicago, IL 60661, United States",Train station,metrarail.com,41.8831389,-87.6404919,True
3,"151 Michigan Ave, Chicago, IL 60602, United States",Train station,metrarail.com,41.8843882,-87.6246974,True
4,"225 S Canal St, Chicago, IL 60661, United States","Transportation service,Train yard",chicagounionstation.com,41.8786006,-87.6388812,True
5,"800 N State St, Chicago, IL 60610, United States",Subway station,transitchicago.com,41.8967801,-87.6279205,True
6,"521 N State St, Chicago, IL 60610, United States",Subway station,transitchicago.com,41.8917982,-87.628191,True
7,"Chicago, IL 60654, United States",Subway station,,41.8959556,-87.635684,True
8,"414 S La Salle St, Chicago, IL 60605, United States",Train station,metrarail.com,41.8752999,-87.63214769999999,True
9,"Chicago, IL 60606, United States",Bus stop,,41.8791414,-87.6394517,True
10,"230 S State St, Chicago, IL 60604, United States",Subway station,transitchicago.com,41.8782124,-87.6276726,True
11,"225 S Canal St, Chicago, IL 60606, United States",Train depot,chicagounionstation.com,41.8786694,-87.6389755,True
12,"22 E Roosevelt Rd, Chicago, IL 60605, United States",Subway station,transitchicago.com,41.8674302,-87.62664269999999,True
13,"Chicago Ridge, IL 60415, United States",Train station,metrarail.com,41.7037907,-87.7797899,True
14,"E 27th St, Chicago, IL 60616, United States",Train station,metrarail.com,41.8441667,-87.6133333,True
15,"132 E Van Buren St, Chicago, IL 60605, United States",Train station,,41.8771275,-87.62293249999999,True
16,"1167 S State St, Chicago, IL 60605, United States",Train station,transitchicago.com,41.8678699,-87.6273214,True
17,"Chicago, IL 60604, United States",Subway station,transitchicago.com,41.8781559,-87.6293104,True
